"codigo_intervencion","fecha_registro_intervencion","nombre_intervencion","objetivo_general","fecha_inicial","fecha_final","estado_intervencion","modalidad_cooperacion","plan_nacional_desarrollo","hoja_ruta","ods","sectores_gobierno","nombre_del_actor","tipo_de_actor","pais_del_actor","rol_del_actor","tipo_de_asistencia","monto_aporte_en_usd","es_adicion","total_territorios"
"22662V","2010-01-01T00:00:00.000","Proyecto de varias organizaciones en el área de derechos humanos y desarrollo de la paz.","Capacitación de promotores y profesionales en el desarrollo de la paz, defensa de DDHH en regiones de conflicto, especialmente para grupos minoritarios (afrocolombianos e indígenas), atención psicosocial para las víctimas del conflicto, trabajo de reconciliación, fortalecimiento de la sociedad civil, trabajo en desarrollo rural, seguridad alimentaria y educación.","2010-01-01T00:00:00.000","2020-02-01T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde/6.1 Avanzar hacia un crecimiento sostenible y bajo en carbono./07. Otro","1. FOCALIZAR Y DINAMIZAR.E. No Aplica","Default O_D_S","Default SECTORES_GOB","NO ESPECIFICA","Default TIPO_ACTOR","Colombia/Centro Oriente/Bogotá D.C./Bogotá D.C.","| Receptor","| Asistencia Financiera","0","SI","1"
"22662V","2010-01-01T00:00:00.000","Proyecto de varias organizaciones en el área de derechos humanos y desarrollo de la paz.","Capacitación de promotores y profesionales en el desarrollo de la paz, defensa de DDHH en regiones de conflicto, especialmente para grupos minoritarios (afrocolombianos e indígenas), atención psicosocial para las víctimas del conflicto, trabajo de reconciliación, fortalecimiento de la sociedad civil, trabajo en desarrollo rural, seguridad alimentaria y educación.","2010-01-01T00:00:00.000","2020-02-01T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde/6.1 Avanzar hacia un crecimiento sostenible y bajo en carbono./07. Otro","1. FOCALIZAR Y DINAMIZAR.E. No Aplica","Default O_D_S","Default SECTORES_GOB","ALEMANIA","INTERNACIONAL/BILATERAL/SECTORIAL/OTROS","Alemania","| Donante","| Asistencia Financiera","16473780.66","SI","1"
"22663V","2010-01-01T00:00:00.000","Proyectos de varias organizaciones en ayuda humanitaria.","Medidas de ayuda y protección. Apoyo a las víctimas del conflicto especialmente a desplazados y a los afectados por catátrofes naturales.","2010-01-01T00:00:00.000","2020-02-01T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde/6.1 Avanzar hacia un crecimiento sostenible y bajo en carbono./07. Otro","1. FOCALIZAR Y DINAMIZAR.E. No Aplica","Default O_D_S","Default SECTORES_GOB","NO ESPECIFICA","Default TIPO_ACTOR","Colombia/Centro Oriente/Bogotá D.C./Bogotá D.C.","| Receptor","| Asistencia Financiera","0","SI","1"
"22663V","2010-01-01T00:00:00.000","Proyectos de varias organizaciones en ayuda humanitaria.","Medidas de ayuda y protección. Apoyo a las víctimas del conflicto especialmente a desplazados y a los afectados por catátrofes naturales.","2010-01-01T00:00:00.000","2020-02-01T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde/6.1 Avanzar hacia un crecimiento sostenible y bajo en carbono./07. Otro","1. FOCALIZAR Y DINAMIZAR.E. No Aplica","Default O_D_S","Default SECTORES_GOB","ALEMANIA","INTERNACIONAL/BILATERAL/SECTORIAL/OTROS","Alemania","| Donante","| Asistencia Financiera","6612138.079","SI","1"
"22667V","2010-01-01T00:00:00.000","Proyectos de varias organizaciones en acción integral contra las minas antipersonales.","Atención médica y psicosocial a las víctimas de minas antipersonales y educación en el riesgo de minas antipersonales.","2010-01-01T00:00:00.000","2021-01-01T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde/6.1 Avanzar hacia un crecimiento sostenible y bajo en carbono./07. Otro","1. FOCALIZAR Y DINAMIZAR.E. No Aplica","Default O_D_S","Default SECTORES_GOB","NO ESPECIFICA","Default TIPO_ACTOR","Colombia/Centro Oriente/Bogotá D.C./Bogotá D.C.","| Receptor","| Asistencia Financiera","0","SI","1"
"22667V","2010-01-01T00:00:00.000","Proyectos de varias organizaciones en acción integral contra las minas antipersonales.","Atención médica y psicosocial a las víctimas de minas antipersonales y educación en el riesgo de minas antipersonales.","2010-01-01T00:00:00.000","2021-01-01T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde/6.1 Avanzar hacia un crecimiento sostenible y bajo en carbono./07. Otro","1. FOCALIZAR Y DINAMIZAR.E. No Aplica","Default O_D_S","Default SECTORES_GOB","ALEMANIA","INTERNACIONAL/BILATERAL/SECTORIAL/OTROS","Alemania","| Donante","| Asistencia Financiera","392820.8016","SI","1"
"22668V","2010-01-01T00:00:00.000","Proyectos de varias organizaciones en el área de desarrollo económico.","Fomentar el desarrollo económico.","2010-01-01T00:00:00.000","2021-01-01T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde/6.1 Avanzar hacia un crecimiento sostenible y bajo en carbono./07. Otro","1. FOCALIZAR Y DINAMIZAR.E. No Aplica","Default O_D_S","Default SECTORES_GOB","NO ESPECIFICA","Default TIPO_ACTOR","Colombia/Centro Oriente/Bogotá D.C./Bogotá D.C.","| Receptor","| Asistencia Financiera","0","SI","1"
"22668V","2010-01-01T00:00:00.000","Proyectos de varias organizaciones en el área de desarrollo económico.","Fomentar el desarrollo económico.","2010-01-01T00:00:00.000","2021-01-01T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde/6.1 Avanzar hacia un crecimiento sostenible y bajo en carbono./07. Otro","1. FOCALIZAR Y DINAMIZAR.E. No Aplica","Default O_D_S","Default SECTORES_GOB","ALEMANIA","INTERNACIONAL/BILATERAL/SECTORIAL/OTROS","Alemania","| Donante","| Asistencia Financiera","614427.5651","SI","1"
"R-AO-10-22","2010-10-31T00:00:00.000","SERVICIOS DE TRATAMIENTO BASADOS EN LA COMUNIDAD PARA LAS VÍCTIMAS AFRO-COLOMBIANAS  DE TORTURA (ACOPLE)","desarrollar e implementar servicios de salud mental basados ??en la evidencia, efectivos y culturalmente apropiados para las víctimas de tortura","2010-10-31T00:00:00.000","2020-09-30T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/04. Seguridad, justicia y democracia para la construcción de la Paz/4.3 Garantía del goce efectivo de derechos de las víctimas.","1. FOCALIZAR Y DINAMIZAR.B. Construcción de Paz","16.2.Terminar con el abuso, la explotación, la trata y todas las formas de violencia y tortura contra los niños.","Inclusión Social y Reconciliación","AGENCIA DE LOS ESTADOS UNIDOS PARA EL DESARROLLO INTERNACIONAL","INTERNACIONAL/BILATERAL/SECTORIAL/AGENCIAS DE COOPERACIÓN","Estados Unidos","| Donante | Donante","| Asistencia Financiera","8002927","SI","1"
"R-AO-10-22","2010-10-31T00:00:00.000","SERVICIOS DE TRATAMIENTO BASADOS EN LA COMUNIDAD PARA LAS VÍCTIMAS AFRO-COLOMBIANAS  DE TORTURA (ACOPLE)","desarrollar e implementar servicios de salud mental basados ??en la evidencia, efectivos y culturalmente apropiados para las víctimas de tortura","2010-10-31T00:00:00.000","2020-09-30T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/04. Seguridad, justicia y democracia para la construcción de la Paz/4.3 Garantía del goce efectivo de derechos de las víctimas.","1. FOCALIZAR Y DINAMIZAR.B. Construcción de Paz","16.2.Terminar con el abuso, la explotación, la trata y todas las formas de violencia y tortura contra los niños.","Inclusión Social y Reconciliación","HEARTLAND ALLIANCE","INTERNACIONAL/PRIVADO/EMPRESAS","Estados Unidos","| Ejecutor | Ejecutor","| Asistencia Técnica","0","SI","1"
"43964V","2011-11-01T00:00:00.000","Tumaco -Pacífico Campus Universidad Nacional de Colombia - ORIO","El objetivo general del proyecto es dinamizar el desarrollo del pacífico colombiano, a través de actividades académicas (formación, investigación y extensión), transferencia de tecnología, formación de capital humano, con miras a establecer un espacio de desarrollo científico y tecnológico que dé respuesta a las necesidades sociales, económicas e institucionales de las comunidades; que reduzca la trampa de pobreza histórica en la cual se encuentra inmersa la región. Lo anterior a través del diseño, construcción y operación  de la Sede Tumaco de la Universidad Nacional de Colombia.","2011-11-01T00:00:00.000","2024-01-01T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde/6.1 Avanzar hacia un crecimiento sostenible y bajo en carbono./07. Otro","1. FOCALIZAR Y DINAMIZAR.E. No Aplica","Default O_D_S","Default SECTORES_GOB","PAISES BAJOS","INTERNACIONAL/BILATERAL/SECTORIAL/OTROS","Países Bajos","| Donante","| Asistencia Financiera","17301761.03","SI","1"
"123078","2012-01-01T00:00:00.000","Seguridad Económica y actividades de protección en Colombia","Que la población desplzada este en capacidad de cubrir sus necesidades básicas y tenga acceso a los servicios escenciales para contribuir con el restablecimiento de su comunidad.","2012-01-01T00:00:00.000","2013-01-01T00:00:00.000","Ejecución","Ayuda Oficial al Desarrollo","Estrategias Transversales/06. Crecimiento Verde/6.1 Avanzar hacia un crecimiento sostenible y bajo en carbono./07. Otro","1. FOCALIZAR Y DINAMIZAR.E. No Aplica","Default O_D_S","Default SECTORES_GOB","COMISIÓN EUROPEA DIRECCIÓN GENERAL DE AYUDA HUMANITARIA","INTERNACIONAL/BILATERAL/SECTORIAL/OTROS","Bélgica","| Donante","| Default TIPO_ASISTENCIA_INT","4771200","SI","1"
